Date,Open,High,Low,Close,Adj Close,Volume,Sentiment
2020-09-01,7.3,7.82,6.77,7.65,7.65,23211000,0.6081341738286226
2020-09-02,7.8,8.05,7.11,7.71,7.71,13011100,0.6565307367081735
2020-09-03,7.88,8.45,7.24,7.82,7.82,14344500,0.6332609630189836
2020-09-04,7.78,7.92,7.17,7.65,7.65,7662000,0.7354162427286307
2020-09-08,7.55,8.28,7.48,7.7,7.7,9816600,0.6699105005079172
2020-09-09,7.96,7.99,7.31,7.35,7.35,9068100,0.6906973569211631
2020-09-10,6.65,6.95,6.19,6.23,6.23,15558300,0.7081410378706585
2020-09-11,6.26,6.33,5.87,6.09,6.09,6061200,0.5
2020-09-14,6.8,7.0,6.43,6.91,6.91,10119000,0.5
2020-09-15,6.86,7.26,6.69,7.09,7.09,5743500,0.5
2020-09-16,7.03,9.04,7.03,8.68,8.68,19256300,0.6875483917033333
2020-09-17,8.57,9.77,8.41,9.2,9.2,17026700,0.6911867687209609
2020-09-18,9.2,9.77,8.91,9.47,9.47,17407500,0.7337220969850001
2020-09-21,9.35,9.6,8.38,8.75,8.75,7639800,0.5936034050125342
2020-09-22,10.45,11.17,9.9,10.56,10.56,34752500,0.7699980703847749
2020-09-23,10.6,10.86,9.92,10.04,10.04,10651200,0.7200122280479518
2020-09-24,9.71,9.81,9.01,9.14,9.14,7938800,0.6780337755501803
2020-09-25,9.19,10.18,9.1,10.02,10.02,7515200,0.6598154735216435
2020-09-28,10.16,10.26,9.55,10.09,10.09,6764300,0.7104318701972564
2020-09-29,10.0,10.65,9.93,10.35,10.35,5237600,0.6072117803761592
2020-09-30,10.25,10.76,10.06,10.2,10.2,6079000,0.5
2020-10-01,10.09,10.25,9.69,9.77,9.77,4554100,0.7336681809347982
2020-10-02,9.38,9.78,9.3,9.39,9.39,4340500,0.5
2020-10-05,9.44,9.59,9.25,9.46,9.46,2805000,0.5
2020-10-06,9.56,9.84,9.1,9.13,9.13,4535400,0.7438154865644481
2020-10-07,9.23,9.56,9.17,9.36,9.36,3308600,0.5
2020-10-08,9.54,13.64,9.19,13.49,13.49,76453600,0.6321385786899335
2020-10-09,12.83,14.8,11.9,12.02,12.02,77152800,0.6486028564988442
2020-10-12,11.66,12.77,11.4,11.8,11.8,23655700,0.8084816774071166
2020-10-13,11.73,12.42,11.65,11.88,11.88,10179700,0.7173768633878544
2020-10-14,12.67,12.68,12.05,12.25,12.25,10776800,0.685449050567961
2020-10-15,11.99,15.1,11.99,13.83,13.83,39894800,0.7042462817308578
