date,value
2020-12-18 00:00:00,35.07651467012689
2020-12-21 00:00:00,26.338742216354657
2020-12-22 00:00:00,37.90314829885065
2020-12-23 00:00:00,38.4994534166063
2020-12-24 00:00:00,28.786388199220298
2020-12-28 00:00:00,22.1180375758698
2020-12-29 00:00:00,28.411097633041287
2020-12-30 00:00:00,29.641855134003436
2020-12-31 00:00:00,30.05663325412825
2021-01-04 00:00:00,31.9442204506416
2021-01-05 00:00:00,27.975497877281725
2021-01-06 00:00:00,29.19918090613689
2021-01-07 00:00:00,27.568892886560533
2021-01-08 00:00:00,29.842150880842635
2021-01-11 00:00:00,31.383614048469738
2021-01-12 00:00:00,29.569396116047116
2021-01-13 00:00:00,66.30570224720532
2021-01-14 00:00:00,60.69967443958023
2021-01-15 00:00:00,46.017406249108355
2021-01-19 00:00:00,58.58157866525999
2021-01-20 00:00:00,38.05544049072864
2021-01-21 00:00:00,49.95908521406313
2021-01-22 00:00:00,83.33205585818865
2021-01-25 00:00:00,78.73745831978277
2021-01-26 00:00:00,85.90905466806856
2021-01-27 00:00:00,49.19100582322024
2021-01-28 00:00:00,50.390780699037585
2021-01-29 00:00:00,46.88546198580627
2021-02-01 00:00:00,41.73158964723484
2021-02-02 00:00:00,59.674858658388814
2021-02-03 00:00:00,28.467541702208102
2021-02-04 00:00:00,52.84520948374348
2021-02-05 00:00:00,52.667779021924666
2021-02-08 00:00:00,38.66409369678759
2021-02-09 00:00:00,36.71050215510811
2021-02-10 00:00:00,41.24558280957409
2021-02-11 00:00:00,29.761226084456684
2021-02-12 00:00:00,20.982143382261444
2021-02-16 00:00:00,22.553212550099968
2021-02-17 00:00:00,29.918035556294036
2021-02-18 00:00:00,35.345678122418455
2021-02-19 00:00:00,24.44960172885711
2021-02-22 00:00:00,30.923980858483972
2021-02-23 00:00:00,22.4725383160908
2021-02-24 00:00:00,56.861579527202444
2021-02-25 00:00:00,80.76328254133408
2021-02-26 00:00:00,58.75491693451111
2021-03-01 00:00:00,40.016329906321744
2021-03-02 00:00:00,37.07418176106982
2021-03-03 00:00:00,35.793872797338324
2021-03-04 00:00:00,41.39698439167581
2021-03-05 00:00:00,32.165089717636974
2021-03-08 00:00:00,54.443296322866075
2021-03-09 00:00:00,44.35397695078566
2021-03-10 00:00:00,56.46886215196631
2021-03-11 00:00:00,37.79187220764451
2021-03-12 00:00:00,27.80348289058299
2021-03-15 00:00:00,35.25519084782481
2021-03-16 00:00:00,38.223997153841175
2021-03-17 00:00:00,26.29131643523347
2021-03-18 00:00:00,24.494803768884353
2021-03-19 00:00:00,29.655667874403246
2021-03-22 00:00:00,23.819699658735814
2021-03-23 00:00:00,25.557187267685393
2021-03-24 00:00:00,29.502684861987902
2021-03-25 00:00:00,40.58174617630652
2021-03-26 00:00:00,41.60751086462407
2021-03-29 00:00:00,29.56561908396897
2021-03-30 00:00:00,25.705782502229184
2021-03-31 00:00:00,23.999604424025364
