date,value
2020-12-18,10.101703711275446
2020-12-21,9.905950775462369
2020-12-22,10.726647467080124
2020-12-23,10.815571960173664
2020-12-24,10.553539247285816
2020-12-28,10.590947947736128
2020-12-29,10.112865152443103
2020-12-30,9.974656213907911
2020-12-31,9.78989664479427
2021-01-04,9.397415999964183
2021-01-05,9.347264811607376
2021-01-06,9.458519268120895
2021-01-07,9.345170673693888
2021-01-08,9.221952133508704
2021-01-11,9.542745302303068
2021-01-12,9.290226533362778
2021-01-13,10.93685347790284
2021-01-14,12.135123967156858
2021-01-15,11.445262223080924
2021-01-19,11.964061772960047
2021-01-20,11.90919331516475
2021-01-21,12.432844465973686
2021-01-22,15.445297672744251
2021-01-25,17.01175051768936
2021-01-26,26.718340831669632
2021-01-27,53.80762031758573
2021-01-28,32.75957145141656
2021-01-29,50.36682856204415
2021-02-01,36.716384218649694
2021-02-02,18.44052747155287
2021-02-03,18.46653711500064
2021-02-04,13.361946199003972
2021-02-05,14.48518888164701
2021-02-08,13.882802603667956
2021-02-09,12.626303528198255
2021-02-10,12.612326929122329
2021-02-11,12.484916640900424
2021-02-12,12.48476445581651
2021-02-16,12.000600805056138
2021-02-17,11.50015997673065
2021-02-18,11.021189752903323
2021-02-19,11.071984555060343
2021-02-22,11.680846338031548
2021-02-23,11.71184259802508
2021-02-24,16.419370064145546
2021-02-25,17.87744603683874
2021-02-26,16.921547702234523
2021-03-01,18.37982298428403
2021-03-02,17.910444279950966
2021-03-03,18.274051455442958
2021-03-04,18.80178681705306
2021-03-05,18.995039202674604
2021-03-08,23.438559271006117
2021-03-09,27.303549857575778
2021-03-10,28.246358175632604
2021-03-11,28.897571862826638
2021-03-12,29.049058829237776
2021-03-15,25.250100783508234
2021-03-16,24.131447043477966
2021-03-17,24.11492519054649
2021-03-18,23.34480757199501
2021-03-19,23.10196154732756
2021-03-22,22.538630964134818
2021-03-23,21.464031885299054
2021-03-24,16.78698547655228
2021-03-25,21.420456861790026
2021-03-26,21.127926272435268
2021-03-29,21.06468590812666
2021-03-30,21.93057723069819
2021-03-31,21.51319683963502
